machine,day,window,used_minutes,remaining_machine_capacity_minutes,utilization
2,72,1,0.0,120,0.0
2,72,2,0.0,120,0.0
2,72,3,0.0,120,0.0
2,72,4,0.0,120,0.0
2,73,1,0.0,120,0.0
2,73,2,0.0,120,0.0
2,73,3,0.0,120,0.0
2,73,4,0.0,120,0.0
2,74,1,0.0,120,0.0
2,74,2,0.0,120,0.0
2,74,3,0.0,120,0.0
2,74,4,0.0,120,0.0
2,75,1,0.0,120,0.0
2,75,2,0.0,120,0.0
2,75,3,0.0,120,0.0
2,75,4,0.0,120,0.0
2,76,1,0.0,120,0.0
2,76,2,0.0,120,0.0
2,76,3,0.0,120,0.0
2,76,4,0.0,120,0.0
2,77,1,0.0,120,0.0
2,77,2,0.0,120,0.0
2,77,3,0.0,120,0.0
2,77,4,0.0,120,0.0
2,78,1,0.0,120,0.0
2,78,2,0.0,120,0.0
2,78,3,0.0,120,0.0
2,78,4,0.0,120,0.0
2,79,1,0.0,120,0.0
2,79,2,0.0,120,0.0
2,79,3,0.0,120,0.0
2,79,4,0.0,120,0.0
2,80,1,0.0,120,0.0
2,80,2,0.0,120,0.0
2,80,3,0.0,120,0.0
2,80,4,0.0,120,0.0
2,81,1,0.0,120,0.0
2,81,2,0.0,120,0.0
2,81,3,0.0,120,0.0
2,81,4,0.0,120,0.0
2,82,1,0.0,120,0.0
2,82,2,0.0,120,0.0
2,82,3,0.0,120,0.0
2,82,4,0.0,120,0.0
2,83,1,0.0,120,0.0
2,83,2,0.0,120,0.0
2,83,3,0.0,120,0.0
2,83,4,0.0,120,0.0
2,84,1,0.0,120,0.0
2,84,2,0.0,120,0.0
2,84,3,0.0,120,0.0
2,84,4,0.0,120,0.0
3,1,1,24.0,24,1.0
3,1,2,0.0,12,0.0
3,1,3,0.0,18,0.0
3,1,4,24.0,24,1.0
3,2,1,12.0,24,0.5
3,2,2,0.0,12,0.0
3,2,3,0.0,18,0.0
3,2,4,12.0,24,0.5
3,3,1,12.0,24,0.5
3,3,2,0.0,12,0.0
3,3,3,12.0,18,0.6666666666666666
3,3,4,24.0,24,1.0
3,4,1,0.0,36,0.0
3,4,2,24.0,24,1.0
3,4,3,12.0,18,0.6666666666666666
3,4,4,0.0,36,0.0
3,5,1,0.0,48,0.0
3,5,2,24.0,24,1.0
3,5,3,24.0,30,0.8
3,5,4,36.0,36,1.0
3,6,1,24.0,60,0.4
3,6,2,12.0,24,0.5
3,6,3,36.0,42,0.8571428571428571
3,6,4,48.0,60,0.8
3,7,1,36.0,96,0.375
3,7,2,24.0,24,1.0
3,7,3,0.0,42,0.0
3,7,4,60.0,60,1.0
3,8,1,12.0,96,0.125
